Formulation,Zeta,Area_%
A100,-7.908666667,0.36044650607638900
A75-E25,-27.93,10.627405503216900
A50-E50,-53.19,3.497114991830070
A25-E75,-51.28,0.140588299121732
A75-F25,15.72,0.8155713050194030
A50-F50,18.42333333,7.647216397952410
A25-F75,47.73,15.922241210937500
B100,0.730333333,0.23611829171772900
B75-E25,-24.42666667,0.12412077461192800
B50-E50,-13.39666667,24.67586941189240
B25-E75,-44.47,0.415136798534518
B75-F25,18.14333333,17.673545288883800
B50-F50,26.94666667,4.246387357026140
B25-F75,42.02333333,2.683149350234890
C100,-5.858333333,0.49247791564542500
C75-E25,-29.12333333,6.30383260888991
C50-E50,-41.52666667,0.1854311874489380
C25-E75,-34.57,0.42978922526041700
C75-F25,26.22333333,5.9582539477379500
C50-F50,35.84666667,23.003165051828000
C25-F75,41.86333333,28.69637283624390
D100,-14.29033333,0.07646947125204250
D75-E25,-30.55666667,2.4704398360906900
D50-E50,-40.005,0.7763532252093550
D25-E75,-47.035,1.675909703073940
D75-F25,23.36,0.3590921638837830
D50-F50,52.10333333,23.297861136642200
D25-F75,33.85666667,11.564887551700400
F100,34.86,5.502550711039620
E100,-58.085,19.046208001429700